province,region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
British Columbia,Kootenay Boundary,2020-06-30,7,,,,-30,
British Columbia,Kootenay Boundary,2020-07-01,-17,,,,-59,
British Columbia,Kootenay Boundary,2020-07-02,7,13,,,-35,
British Columbia,Kootenay Boundary,2020-07-03,6,,,,-34,
British Columbia,Kootenay Boundary,2020-07-04,-6,,,,-26,
British Columbia,Kootenay Boundary,2020-07-05,6,,,,-19,
British Columbia,Kootenay Boundary,2020-07-06,10,,,,-30,
British Columbia,Kootenay Boundary,2020-07-07,2,,,,-32,
British Columbia,Kootenay Boundary,2020-07-08,0,,,,-30,
British Columbia,Kootenay Boundary,2020-07-09,-1,12,,,-30,
British Columbia,Kootenay Boundary,2020-07-10,-4,,,,-32,
British Columbia,Kootenay Boundary,2020-07-11,-12,,,,-31,
British Columbia,Kootenay Boundary,2020-07-12,-2,,,,-20,
British Columbia,Kootenay Boundary,2020-07-13,7,,,,-32,
British Columbia,Kootenay Boundary,2020-07-14,3,,,,-32,
British Columbia,Kootenay Boundary,2020-07-15,-3,,,,-29,
British Columbia,Kootenay Boundary,2020-07-16,0,6,,,-30,
British Columbia,Kootenay Boundary,2020-07-17,-3,,,,-30,
British Columbia,Kootenay Boundary,2020-07-18,-10,,,,-24,
British Columbia,Kootenay Boundary,2020-07-19,0,,,,-28,
British Columbia,Kootenay Boundary,2020-07-20,6,,,,-33,
British Columbia,Kootenay Boundary,2020-07-21,4,,,,-32,
British Columbia,Kootenay Boundary,2020-07-22,5,,,,-32,
British Columbia,Kootenay Boundary,2020-07-23,9,15,,,-29,
British Columbia,Kootenay Boundary,2020-07-24,2,,,,-31,
British Columbia,Kootenay Boundary,2020-07-25,-17,,,,-25,
British Columbia,Kootenay Boundary,2020-07-26,1,,,,-31,
British Columbia,Kootenay Boundary,2020-07-27,14,,,,-33,
British Columbia,Kootenay Boundary,2020-07-28,12,,,,-30,
British Columbia,Kootenay Boundary,2020-07-29,11,,,,-29,
British Columbia,Kootenay Boundary,2020-07-30,12,21,,,-29,
British Columbia,Kootenay Boundary,2020-07-31,8,,,,-33,
British Columbia,Kootenay Boundary,2020-08-01,-4,,,,-27,
British Columbia,Kootenay Boundary,2020-08-02,7,,,,-29,
British Columbia,Kootenay Boundary,2020-08-03,10,,,,-67,
British Columbia,Kootenay Boundary,2020-08-04,14,,,,-36,
British Columbia,Kootenay Boundary,2020-08-05,13,,,,-34,
British Columbia,Kootenay Boundary,2020-08-06,13,2,,,-33,
British Columbia,Kootenay Boundary,2020-08-07,1,,,,-33,
British Columbia,Kootenay Boundary,2020-08-08,-10,,,,-21,
British Columbia,Kootenay Boundary,2020-08-09,6,,,,-25,
British Columbia,Kootenay Boundary,2020-08-10,19,,,,-34,
British Columbia,Kootenay Boundary,2020-08-11,12,,,,-33,
British Columbia,Kootenay Boundary,2020-08-12,11,,,,-34,
British Columbia,Kootenay Boundary,2020-08-13,12,3,,,-29,
British Columbia,Kootenay Boundary,2020-08-14,2,,,,-33,
British Columbia,Kootenay Boundary,2020-08-15,-11,,,,-27,
British Columbia,Kootenay Boundary,2020-08-16,4,,,,-26,
British Columbia,Kootenay Boundary,2020-09-11,-4,,,,-28,
British Columbia,Kootenay Boundary,2020-09-12,-13,,,,-25,
British Columbia,Kootenay Boundary,2020-09-13,-6,,,,-34,
British Columbia,Kootenay Boundary,2020-09-14,6,,,,-28,
British Columbia,Kootenay Boundary,2020-09-15,5,,,,-27,
British Columbia,Kootenay Boundary,2020-09-16,-5,,,,-30,
British Columbia,Kootenay Boundary,2020-09-17,-3,,,,-27,
British Columbia,Kootenay Boundary,2020-09-18,-4,,,,-30,
British Columbia,Kootenay Boundary,2020-09-19,-16,,,,-23,
British Columbia,Kootenay Boundary,2020-09-20,-7,,,,-29,
British Columbia,Kootenay Boundary,2020-09-21,5,,,,-27,
British Columbia,Kootenay Boundary,2020-09-22,0,,,,-25,
British Columbia,Kootenay Boundary,2020-09-23,-3,,,,-25,5
British Columbia,Kootenay Boundary,2020-09-24,-3,-1,,,-23,4
British Columbia,Kootenay Boundary,2020-09-25,-14,,,,-22,6
British Columbia,Kootenay Boundary,2020-09-26,-17,,,,-15,
British Columbia,Kootenay Boundary,2020-09-27,-7,,,,-21,
British Columbia,Kootenay Boundary,2020-09-28,6,,,,-22,3
British Columbia,Kootenay Boundary,2020-09-29,1,,,,-23,4
British Columbia,Kootenay Boundary,2020-09-30,-10,,,,-25,3
British Columbia,Kootenay Boundary,2020-10-01,-8,-3,,,-22,3
British Columbia,Kootenay Boundary,2020-10-02,-9,,,,-22,2
British Columbia,Kootenay Boundary,2020-10-03,-20,,,,-17,
British Columbia,Kootenay Boundary,2020-10-04,-10,,,,-27,
British Columbia,Kootenay Boundary,2020-10-05,1,,,,-23,1
British Columbia,Kootenay Boundary,2020-10-06,-1,,,,-22,3
British Columbia,Metro Vancouver,2020-02-15,-4,-2,-17,-1,-5,1
British Columbia,Metro Vancouver,2020-02-16,8,0,38,9,-2,-2
British Columbia,Metro Vancouver,2020-02-17,9,14,122,-27,-70,14
British Columbia,Metro Vancouver,2020-02-18,3,7,64,-1,1,0
British Columbia,Metro Vancouver,2020-02-19,6,3,49,3,0,0
British Columbia,Metro Vancouver,2020-02-20,5,5,58,-1,1,0
British Columbia,Metro Vancouver,2020-02-21,3,2,46,1,1,-1
British Columbia,Metro Vancouver,2020-02-22,2,4,17,3,2,0
British Columbia,Metro Vancouver,2020-02-23,1,2,-2,0,1,0
British Columbia,Metro Vancouver,2020-02-24,2,4,25,0,3,0
British Columbia,Metro Vancouver,2020-02-25,1,4,23,1,4,0
British Columbia,Metro Vancouver,2020-02-26,3,4,23,1,2,0
British Columbia,Metro Vancouver,2020-02-27,1,5,18,-2,2,0
British Columbia,Metro Vancouver,2020-02-28,2,4,15,-1,2,-1
British Columbia,Metro Vancouver,2020-02-29,5,10,49,7,3,-1
British Columbia,Metro Vancouver,2020-03-01,3,9,31,3,2,-1
British Columbia,Metro Vancouver,2020-03-02,-4,4,-16,-6,2,1
British Columbia,Metro Vancouver,2020-03-03,1,11,23,-4,4,1
British Columbia,Metro Vancouver,2020-03-04,6,8,55,3,2,-1
British Columbia,Metro Vancouver,2020-03-05,0,5,8,-6,2,1
British Columbia,Metro Vancouver,2020-03-06,4,8,57,0,4,-1
British Columbia,Metro Vancouver,2020-03-07,0,6,11,-2,1,1
British Columbia,Metro Vancouver,2020-03-08,4,7,75,3,1,0
British Columbia,Metro Vancouver,2020-03-09,1,8,51,-5,1,1
British Columbia,Metro Vancouver,2020-03-10,-3,3,10,-9,2,2
British Columbia,Metro Vancouver,2020-03-11,2,10,51,-5,-1,1
British Columbia,Metro Vancouver,2020-03-12,-1,20,41,-10,-1,2
British Columbia,Metro Vancouver,2020-03-13,-5,30,10,-17,-4,3
British Columbia,Metro Vancouver,2020-03-14,-12,22,20,-17,-5,4
British Columbia,Metro Vancouver,2020-03-15,-11,17,73,-19,-8,3
British Columbia,Metro Vancouver,2020-03-16,-10,39,55,-31,-27,10
British Columbia,Metro Vancouver,2020-03-17,-23,31,84,-39,-35,14
British Columbia,Metro Vancouver,2020-03-18,-32,17,82,-44,-43,16
British Columbia,Metro Vancouver,2020-03-19,-39,5,86,-49,-47,19
British Columbia,Metro Vancouver,2020-03-20,-45,0,79,-49,-48,19
British Columbia,Metro Vancouver,2020-03-21,-54,-12,53,-49,-39,14
British Columbia,Metro Vancouver,2020-03-22,-59,-23,6,-55,-43,13
British Columbia,Metro Vancouver,2020-03-23,-53,-16,-12,-61,-55,23
British Columbia,Metro Vancouver,2020-03-24,-56,-17,10,-64,-58,25
British Columbia,Metro Vancouver,2020-03-25,-54,-17,32,-61,-60,24
British Columbia,Metro Vancouver,2020-03-26,-59,-24,-31,-67,-61,27
British Columbia,Metro Vancouver,2020-03-27,-60,-23,-39,-67,-60,26
British Columbia,Metro Vancouver,2020-03-28,-65,-31,-50,-67,-51,19
British Columbia,Metro Vancouver,2020-03-29,-60,-29,31,-60,-49,14
British Columbia,Metro Vancouver,2020-03-30,-56,-25,-15,-66,-60,24
British Columbia,Metro Vancouver,2020-03-31,-54,-20,30,-65,-60,25
British Columbia,Metro Vancouver,2020-04-01,-55,-24,12,-65,-61,25
British Columbia,Metro Vancouver,2020-04-02,-56,-23,10,-67,-61,26
British Columbia,Metro Vancouver,2020-04-03,-55,-22,12,-66,-60,25
British Columbia,Metro Vancouver,2020-04-04,-60,-26,1,-64,-49,18
British Columbia,Metro Vancouver,2020-04-05,-59,-30,41,-62,-49,14
British Columbia,Metro Vancouver,2020-04-06,-53,-23,37,-64,-60,23
British Columbia,Metro Vancouver,2020-04-07,-53,-21,66,-64,-60,25
British Columbia,Metro Vancouver,2020-04-08,-52,-22,46,-62,-60,24
British Columbia,Metro Vancouver,2020-04-09,-47,-12,57,-62,-60,24
British Columbia,Metro Vancouver,2020-04-10,-57,-20,70,-70,-82,31
British Columbia,Metro Vancouver,2020-04-11,-58,-22,26,-60,-51,17
British Columbia,Metro Vancouver,2020-04-12,-61,-36,49,-61,-50,13
British Columbia,Metro Vancouver,2020-04-13,-54,-24,47,-68,-70,26
British Columbia,Metro Vancouver,2020-04-14,-51,-18,68,-63,-58,24
British Columbia,Metro Vancouver,2020-04-15,-50,-20,63,-61,-59,23
British Columbia,Metro Vancouver,2020-04-16,-50,-19,73,-62,-59,24
British Columbia,Metro Vancouver,2020-04-17,-53,-21,30,-63,-58,24
British Columbia,Metro Vancouver,2020-04-18,-54,-22,48,-56,-44,15
British Columbia,Metro Vancouver,2020-04-19,-55,-28,40,-59,-44,13
British Columbia,Metro Vancouver,2020-04-20,-49,-21,55,-62,-58,22
British Columbia,Metro Vancouver,2020-04-21,-50,-19,47,-63,-57,24
British Columbia,Metro Vancouver,2020-04-22,-53,-23,-7,-64,-59,25
British Columbia,Metro Vancouver,2020-04-23,-50,-17,52,-62,-57,24
British Columbia,Metro Vancouver,2020-04-24,-52,-17,37,-61,-56,23
British Columbia,Metro Vancouver,2020-04-25,-55,-19,11,-59,-43,16
British Columbia,Metro Vancouver,2020-04-26,-55,-25,23,-60,-43,13
British Columbia,Metro Vancouver,2020-04-27,-49,-17,49,-62,-56,22
British Columbia,Metro Vancouver,2020-04-28,-50,-15,29,-63,-57,24
British Columbia,Metro Vancouver,2020-04-29,-50,-17,10,-62,-58,24
British Columbia,Metro Vancouver,2020-04-30,-47,-9,76,-60,-56,23
British Columbia,Metro Vancouver,2020-05-01,-48,-11,66,-59,-55,22
British Columbia,Metro Vancouver,2020-05-02,-57,-20,-31,-62,-43,17
British Columbia,Metro Vancouver,2020-05-03,-51,-18,52,-56,-39,12
British Columbia,Metro Vancouver,2020-05-04,-47,-13,42,-61,-55,22
British Columbia,Metro Vancouver,2020-05-05,-45,-7,131,-58,-54,22
British Columbia,Metro Vancouver,2020-05-06,-46,-10,64,-59,-56,22
British Columbia,Metro Vancouver,2020-05-07,-44,-7,115,-58,-55,22
British Columbia,Metro Vancouver,2020-05-08,-44,-4,125,-56,-53,20
British Columbia,Metro Vancouver,2020-05-09,-46,-3,88,-50,-37,11
British Columbia,Metro Vancouver,2020-05-10,-42,-7,109,-49,-33,8
British Columbia,Metro Vancouver,2020-05-11,-46,-12,67,-59,-54,20
British Columbia,Metro Vancouver,2020-05-12,-48,-12,31,-62,-53,23
British Columbia,Metro Vancouver,2020-05-13,-46,-11,40,-60,-54,22
British Columbia,Metro Vancouver,2020-05-14,-44,-6,83,-59,-54,22
British Columbia,Metro Vancouver,2020-05-15,-42,-3,129,-55,-53,19
British Columbia,Metro Vancouver,2020-05-16,-52,-15,-23,-59,-39,14
British Columbia,Metro Vancouver,2020-05-17,-47,-14,65,-53,-34,10
British Columbia,Metro Vancouver,2020-05-18,-41,-4,204,-63,-79,24
British Columbia,Metro Vancouver,2020-05-19,-39,-4,121,-57,-51,20
British Columbia,Metro Vancouver,2020-05-20,-40,-7,37,-57,-51,21
British Columbia,Metro Vancouver,2020-05-21,-39,-4,70,-57,-51,21
British Columbia,Metro Vancouver,2020-05-22,-39,-5,74,-54,-48,19
British Columbia,Metro Vancouver,2020-05-23,-41,-7,51,-48,-28,11
British Columbia,Metro Vancouver,2020-05-24,-40,-12,71,-48,-27,9
British Columbia,Metro Vancouver,2020-05-25,-38,-9,16,-59,-51,20
British Columbia,Metro Vancouver,2020-05-26,-33,-2,150,-53,-47,18
British Columbia,Metro Vancouver,2020-05-27,-32,-1,133,-50,-48,18
British Columbia,Metro Vancouver,2020-05-28,-33,-1,126,-53,-47,18
British Columbia,Metro Vancouver,2020-05-29,-34,-1,124,-50,-46,16
British Columbia,Metro Vancouver,2020-05-30,-43,-11,-28,-52,-23,12
British Columbia,Metro Vancouver,2020-05-31,-37,-7,49,-45,-19,8
British Columbia,Metro Vancouver,2020-06-01,-29,0,106,-51,-45,16
British Columbia,Metro Vancouver,2020-06-02,-34,-5,41,-56,-45,19
British Columbia,Metro Vancouver,2020-06-03,-30,-2,94,-51,-46,17
British Columbia,Metro Vancouver,2020-06-04,-31,-2,88,-53,-45,18
British Columbia,Metro Vancouver,2020-06-05,-30,-1,113,-48,-43,15
British Columbia,Metro Vancouver,2020-06-06,-33,-2,65,-43,-20,9
British Columbia,Metro Vancouver,2020-06-07,-29,-6,138,-40,-19,5
British Columbia,Metro Vancouver,2020-06-08,-30,-3,66,-52,-44,16
British Columbia,Metro Vancouver,2020-06-09,-34,-8,-5,-57,-44,19
British Columbia,Metro Vancouver,2020-06-10,-29,-3,62,-51,-45,17
British Columbia,Metro Vancouver,2020-06-11,-29,-2,89,-52,-44,17
British Columbia,Metro Vancouver,2020-06-12,-32,-5,28,-52,-43,17
British Columbia,Metro Vancouver,2020-06-13,-30,-3,55,-42,-17,8
British Columbia,Metro Vancouver,2020-06-14,-31,-9,52,-45,-17,7
British Columbia,Metro Vancouver,2020-06-15,-31,-7,-17,-55,-44,17
British Columbia,Metro Vancouver,2020-06-16,-24,4,153,-49,-42,16
British Columbia,Metro Vancouver,2020-06-17,-24,-1,134,-47,-44,15
British Columbia,Metro Vancouver,2020-06-18,-24,4,145,-48,-43,15
British Columbia,Metro Vancouver,2020-06-19,-27,1,99,-46,-42,13
British Columbia,Metro Vancouver,2020-06-20,-32,-2,-11,-47,-18,9
British Columbia,Metro Vancouver,2020-06-21,-24,-2,108,-39,-13,4
British Columbia,Metro Vancouver,2020-06-22,-26,-2,101,-50,-44,14
British Columbia,Metro Vancouver,2020-06-23,-26,0,86,-50,-43,16
British Columbia,Metro Vancouver,2020-06-24,-22,2,102,-47,-43,15
British Columbia,Metro Vancouver,2020-06-25,-22,4,156,-46,-42,14
British Columbia,Metro Vancouver,2020-06-26,-27,-1,72,-46,-42,13
British Columbia,Metro Vancouver,2020-06-27,-29,-3,61,-38,-18,6
British Columbia,Metro Vancouver,2020-06-28,-25,-6,150,-34,-14,2
British Columbia,Metro Vancouver,2020-06-29,-21,0,126,-47,-45,13
British Columbia,Metro Vancouver,2020-06-30,-18,5,82,-49,-44,14
British Columbia,Metro Vancouver,2020-07-01,-28,-4,22,-61,-75,23
British Columbia,Metro Vancouver,2020-07-02,-26,-1,38,-51,-47,16
British Columbia,Metro Vancouver,2020-07-03,-29,-5,-11,-52,-47,16
British Columbia,Metro Vancouver,2020-07-04,-28,-4,105,-38,-17,5
British Columbia,Metro Vancouver,2020-07-05,-24,-7,169,-34,-16,1
British Columbia,Metro Vancouver,2020-07-06,-21,0,113,-47,-45,13
British Columbia,Metro Vancouver,2020-07-07,-22,1,100,-49,-44,15
British Columbia,Metro Vancouver,2020-07-08,-21,1,108,-46,-44,14
British Columbia,Metro Vancouver,2020-07-09,-23,2,70,-49,-44,15
British Columbia,Metro Vancouver,2020-07-10,-23,0,130,-44,-42,11
British Columbia,Metro Vancouver,2020-07-11,-30,-7,7,-44,-17,7
British Columbia,Metro Vancouver,2020-07-12,-22,-4,156,-34,-14,2
British Columbia,Metro Vancouver,2020-07-13,-20,1,133,-47,-44,12
British Columbia,Metro Vancouver,2020-07-14,-20,3,187,-47,-43,13
British Columbia,Metro Vancouver,2020-07-15,-19,1,154,-45,-44,12
British Columbia,Metro Vancouver,2020-07-16,-21,4,108,-47,-44,14
British Columbia,Metro Vancouver,2020-07-17,-23,1,113,-45,-42,11
British Columbia,Metro Vancouver,2020-07-18,-26,-2,127,-35,-16,3
British Columbia,Metro Vancouver,2020-07-19,-23,-5,148,-34,-16,1
British Columbia,Metro Vancouver,2020-07-20,-20,2,136,-47,-43,12
British Columbia,Metro Vancouver,2020-07-21,-20,6,172,-47,-42,13
British Columbia,Metro Vancouver,2020-07-22,-20,2,114,-46,-43,13
British Columbia,Metro Vancouver,2020-07-23,-22,1,94,-47,-43,14
British Columbia,Metro Vancouver,2020-07-24,-24,0,94,-46,-42,12
British Columbia,Metro Vancouver,2020-07-25,-26,-3,122,-36,-16,3
British Columbia,Metro Vancouver,2020-07-26,-23,-7,153,-34,-15,1
British Columbia,Metro Vancouver,2020-07-27,-20,0,123,-47,-45,12
British Columbia,Metro Vancouver,2020-07-28,-21,3,151,-48,-43,13
British Columbia,Metro Vancouver,2020-07-29,-19,1,134,-45,-44,12
British Columbia,Metro Vancouver,2020-07-30,-19,5,139,-46,-44,12
British Columbia,Metro Vancouver,2020-07-31,-23,3,105,-43,-45,10
British Columbia,Metro Vancouver,2020-08-01,-29,-5,101,-37,-20,3
British Columbia,Metro Vancouver,2020-08-02,-24,-10,127,-36,-19,1
British Columbia,Metro Vancouver,2020-08-03,-21,1,181,-57,-76,16
British Columbia,Metro Vancouver,2020-08-04,-21,3,153,-46,-45,13
British Columbia,Metro Vancouver,2020-08-05,-20,2,136,-44,-45,12
British Columbia,Metro Vancouver,2020-08-06,-25,-1,34,-50,-45,15
British Columbia,Metro Vancouver,2020-08-07,-26,-4,32,-47,-43,12
British Columbia,Metro Vancouver,2020-08-08,-27,-4,76,-38,-16,5
British Columbia,Metro Vancouver,2020-08-09,-23,-6,152,-33,-16,1
British Columbia,Metro Vancouver,2020-08-10,-21,-1,112,-47,-45,12
British Columbia,Metro Vancouver,2020-08-11,-21,-1,132,-47,-44,13
British Columbia,Metro Vancouver,2020-08-12,-21,-2,106,-44,-44,13
British Columbia,Metro Vancouver,2020-08-13,-21,0,127,-46,-44,13
British Columbia,Metro Vancouver,2020-08-14,-24,-1,121,-43,-43,10
British Columbia,Metro Vancouver,2020-08-15,-27,-4,109,-35,-18,3
British Columbia,Metro Vancouver,2020-08-16,-25,-8,138,-34,-18,1
British Columbia,Metro Vancouver,2020-08-17,-22,-2,107,-47,-46,12
British Columbia,Metro Vancouver,2020-08-18,-22,-1,150,-47,-43,13
British Columbia,Metro Vancouver,2020-08-19,-22,-4,105,-45,-44,12
British Columbia,Metro Vancouver,2020-08-20,-24,-1,30,-49,-44,14
British Columbia,Metro Vancouver,2020-08-21,-28,-5,22,-47,-43,13
British Columbia,Metro Vancouver,2020-08-22,-27,-4,94,-35,-16,4
British Columbia,Metro Vancouver,2020-08-23,-25,-9,108,-34,-17,2
British Columbia,Metro Vancouver,2020-08-24,-22,-3,95,-46,-45,12
British Columbia,Metro Vancouver,2020-08-25,-21,1,147,-45,-43,12
British Columbia,Metro Vancouver,2020-08-26,-19,-1,118,-43,-44,12
British Columbia,Metro Vancouver,2020-08-27,-20,3,129,-45,-43,12
British Columbia,Metro Vancouver,2020-08-28,-23,0,122,-42,-42,10
British Columbia,Metro Vancouver,2020-08-29,-27,-4,90,-36,-16,3
British Columbia,Metro Vancouver,2020-08-30,-24,-7,85,-36,-17,2
British Columbia,Metro Vancouver,2020-08-31,-20,0,75,-46,-44,12
British Columbia,Metro Vancouver,2020-09-01,-19,3,125,-44,-43,12
British Columbia,Metro Vancouver,2020-09-02,-19,-1,104,-43,-44,12
British Columbia,Metro Vancouver,2020-09-03,-20,2,120,-44,-44,12
British Columbia,Metro Vancouver,2020-09-04,-23,0,104,-42,-44,10
British Columbia,Metro Vancouver,2020-09-05,-28,-7,71,-38,-22,4
British Columbia,Metro Vancouver,2020-09-06,-22,-11,119,-35,-19,1
British Columbia,Metro Vancouver,2020-09-07,-20,3,182,-55,-77,16
British Columbia,Metro Vancouver,2020-09-08,-21,3,119,-46,-44,12
British Columbia,Metro Vancouver,2020-09-09,-21,-1,111,-45,-43,12
British Columbia,Metro Vancouver,2020-09-10,-21,3,118,-45,-42,12
British Columbia,Metro Vancouver,2020-09-11,-24,0,81,-44,-40,11
British Columbia,Metro Vancouver,2020-09-12,-28,-5,27,-42,-17,7
British Columbia,Metro Vancouver,2020-09-13,-27,-7,13,-44,-18,5
British Columbia,Metro Vancouver,2020-09-14,-26,-5,5,-50,-40,13
British Columbia,Metro Vancouver,2020-09-15,-23,1,54,-48,-38,14
British Columbia,Metro Vancouver,2020-09-16,-23,-6,44,-46,-40,13
British Columbia,Metro Vancouver,2020-09-17,-24,-3,49,-48,-39,13
British Columbia,Metro Vancouver,2020-09-18,-25,-4,37,-45,-38,11
British Columbia,Metro Vancouver,2020-09-19,-25,-3,20,-41,-16,7
British Columbia,Metro Vancouver,2020-09-20,-21,-5,92,-39,-14,4
British Columbia,Metro Vancouver,2020-09-21,-23,-4,63,-48,-40,12
British Columbia,Metro Vancouver,2020-09-22,-22,1,96,-48,-38,13
British Columbia,Metro Vancouver,2020-09-23,-28,-11,-13,-51,-40,15
British Columbia,Metro Vancouver,2020-09-24,-25,-1,22,-50,-38,14
British Columbia,Metro Vancouver,2020-09-25,-24,-1,42,-47,-38,12
British Columbia,Metro Vancouver,2020-09-26,-25,-2,0,-43,-14,7
British Columbia,Metro Vancouver,2020-09-27,-22,-4,64,-40,-14,4
British Columbia,Metro Vancouver,2020-09-28,-22,-1,73,-47,-38,12
British Columbia,Metro Vancouver,2020-09-29,-21,2,109,-46,-36,12
British Columbia,Metro Vancouver,2020-09-30,-21,-1,75,-44,-38,11
British Columbia,Metro Vancouver,2020-10-01,-22,3,58,-47,-35,12
British Columbia,Metro Vancouver,2020-10-02,-24,0,72,-43,-34,10
British Columbia,Metro Vancouver,2020-10-03,-24,-2,63,-38,-14,5
British Columbia,Metro Vancouver,2020-10-04,-24,-5,40,-42,-16,5
British Columbia,Metro Vancouver,2020-10-05,-24,0,47,-48,-37,12
British Columbia,Metro Vancouver,2020-10-06,-23,2,86,-48,-36,12
British Columbia,Mount Waddington,2020-06-08,,,,,-14,
British Columbia,Mount Waddington,2020-06-09,,,,,-16,
British Columbia,Mount Waddington,2020-06-10,,,,,-9,
British Columbia,Mount Waddington,2020-06-11,,,,,-9,
British Columbia,Mount Waddington,2020-06-12,,,,,-13,
British Columbia,Mount Waddington,2020-06-15,,,,,-11,
British Columbia,Mount Waddington,2020-06-16,,,,,0,
British Columbia,Mount Waddington,2020-06-17,,,,,-6,
British Columbia,Mount Waddington,2020-06-18,,,,,-13,
British Columbia,Mount Waddington,2020-06-19,,,,,-8,
British Columbia,Mount Waddington,2020-06-22,,,,,-20,
British Columbia,Mount Waddington,2020-06-23,,,,,-8,
British Columbia,Mount Waddington,2020-06-24,,,,,-10,
British Columbia,Mount Waddington,2020-06-25,,,,,-7,
British Columbia,Mount Waddington,2020-06-26,,,,,-11,
British Columbia,Mount Waddington,2020-06-29,,,,,-21,
British Columbia,Mount Waddington,2020-06-30,,,,,-20,
British Columbia,Mount Waddington,2020-07-01,,,,,-44,
British Columbia,Mount Waddington,2020-07-02,,,,,-13,
British Columbia,Mount Waddington,2020-07-03,,,,,-10,
British Columbia,Mount Waddington,2020-07-06,,,,,-17,
British Columbia,Mount Waddington,2020-07-07,,,,,-17,
British Columbia,Mount Waddington,2020-07-08,,,,,-11,
British Columbia,Mount Waddington,2020-07-09,,,,,-10,
British Columbia,Mount Waddington,2020-07-10,,,,,-12,
British Columbia,Mount Waddington,2020-07-13,,,,,-20,
British Columbia,Mount Waddington,2020-07-14,,,,,-17,
British Columbia,Mount Waddington,2020-07-15,,,,,-18,
British Columbia,Mount Waddington,2020-07-16,,,,,-18,
British Columbia,Mount Waddington,2020-07-17,,,,,-17,
British Columbia,Mount Waddington,2020-07-20,,,,,-24,
British Columbia,Mount Waddington,2020-07-21,,,,,-16,
British Columbia,Mount Waddington,2020-07-22,,,,,-20,
British Columbia,Mount Waddington,2020-07-23,,,,,-14,
British Columbia,Mount Waddington,2020-07-24,,,,,-13,
British Columbia,Mount Waddington,2020-07-27,,,,,-19,
British Columbia,Mount Waddington,2020-07-28,,,,,-15,
British Columbia,Mount Waddington,2020-07-29,,,,,-13,
British Columbia,Mount Waddington,2020-07-30,,,,,-9,
British Columbia,Mount Waddington,2020-07-31,,,,,-12,
British Columbia,Mount Waddington,2020-08-03,,,,,-55,
British Columbia,Mount Waddington,2020-08-04,,,,,-16,
British Columbia,Mount Waddington,2020-08-05,,,,,-21,
British Columbia,Mount Waddington,2020-08-06,,,,,-14,
British Columbia,Mount Waddington,2020-08-07,,,,,-19,
British Columbia,Mount Waddington,2020-08-10,,,,,-17,
British Columbia,Mount Waddington,2020-08-11,,,,,-14,
British Columbia,Mount Waddington,2020-08-12,,,,,-8,
British Columbia,Mount Waddington,2020-08-13,,,,,-40,
British Columbia,Mount Waddington,2020-08-14,,,,,-11,
British Columbia,Mount Waddington,2020-09-11,,,,,-5,
British Columbia,Mount Waddington,2020-09-14,,,,,-8,
British Columbia,Mount Waddington,2020-09-15,,,,,-3,
British Columbia,Mount Waddington,2020-09-16,,,,,-11,
British Columbia,Mount Waddington,2020-09-17,,,,,-5,
British Columbia,Mount Waddington,2020-09-18,,,,,2,
British Columbia,Mount Waddington,2020-09-21,,,,,-11,
British Columbia,Mount Waddington,2020-09-22,,,,,-5,
British Columbia,Mount Waddington,2020-09-23,,,,,-2,
British Columbia,Mount Waddington,2020-09-24,,,,,-3,
British Columbia,Mount Waddington,2020-09-25,,,,,-1,
British Columbia,Mount Waddington,2020-09-28,,,,,-8,
British Columbia,Mount Waddington,2020-09-29,,,,,-1,
British Columbia,Mount Waddington,2020-09-30,,,,,-8,
British Columbia,Mount Waddington,2020-10-01,,,,,1,
British Columbia,Mount Waddington,2020-10-02,,,,,4,
British Columbia,Mount Waddington,2020-10-05,,,,,-12,
British Columbia,Mount Waddington,2020-10-06,,,,,-5,
British Columbia,Nanaimo,2020-02-15,7,1,12,9,0,1
British Columbia,Nanaimo,2020-02-16,14,5,41,4,-2,-1
British Columbia,Nanaimo,2020-02-17,5,10,105,29,-59,9
British Columbia,Nanaimo,2020-02-18,5,13,44,9,1,0
British Columbia,Nanaimo,2020-02-19,7,5,49,7,3,-1
British Columbia,Nanaimo,2020-02-20,7,5,39,5,4,-1
British Columbia,Nanaimo,2020-02-21,6,3,34,-3,6,-2
British Columbia,Nanaimo,2020-02-22,5,1,34,3,3,-1
British Columbia,Nanaimo,2020-02-23,4,4,-5,8,1,0
British Columbia,Nanaimo,2020-02-24,3,3,34,-14,-10,1
British Columbia,Nanaimo,2020-02-25,4,6,19,-6,-4,1
British Columbia,Nanaimo,2020-02-26,6,4,36,4,0,0
British Columbia,Nanaimo,2020-02-27,2,3,22,1,1,0
British Columbia,Nanaimo,2020-02-28,5,3,16,-2,3,-2
British Columbia,Nanaimo,2020-02-29,6,6,33,0,5,-1
British Columbia,Nanaimo,2020-03-01,8,7,12,18,0,-1
British Columbia,Nanaimo,2020-03-02,0,4,-7,-9,2,1
British Columbia,Nanaimo,2020-03-03,5,5,42,-5,4,0
British Columbia,Nanaimo,2020-03-04,4,0,56,1,3,0
British Columbia,Nanaimo,2020-03-05,4,2,10,2,3,0
