category,New cases
2020-08-30T00:00:00,112
2020-08-31T00:00:00,114
2020-09-01T00:00:00,112
2020-09-02T00:00:00,133
2020-09-03T00:00:00,132
2020-09-04T00:00:00,148
2020-09-05T00:00:00,169
2020-09-06T00:00:00,158
2020-09-07T00:00:00,190
2020-09-08T00:00:00,185
2020-09-09T00:00:00,149
2020-09-10T00:00:00,170
2020-09-11T00:00:00,213
2020-09-12T00:00:00,232
2020-09-13T00:00:00,204
2020-09-14T00:00:00,313
2020-09-15T00:00:00,251
2020-09-16T00:00:00,315
2020-09-17T00:00:00,293
2020-09-18T00:00:00,401
2020-09-19T00:00:00,407
2020-09-20T00:00:00,365
2020-09-21T00:00:00,425
2020-09-22T00:00:00,478
2020-09-23T00:00:00,335
2020-09-24T00:00:00,409
2020-09-25T00:00:00,409
2020-09-26T00:00:00,435
2020-09-27T00:00:00,491
2020-09-28T00:00:00,700
2020-09-29T00:00:00,554
2020-09-30T00:00:00,625
2020-10-01T00:00:00,538
2020-10-02T00:00:00,732
2020-10-03T00:00:00,653
2020-10-04T00:00:00,566
